,rerun,group_dim,bootstrap,subject,ism_repref_corr,sub_rep_ism_gsm_corr,sub_ref_ism_gsm_corr
0,2.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,2.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,2.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,2.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,2.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,2.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,2.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,2.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,2.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,2.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,2.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,2.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,2.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,2.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,3.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,3.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,3.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,3.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,3.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,3.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,3.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,3.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,3.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,3.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,3.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,3.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,3.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,3.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,3.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,3.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,3.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,3.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,3.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,3.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,3.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,3.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,3.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,3.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,4.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,4.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,4.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,4.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,4.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,4.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,4.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,4.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,4.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,4.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,4.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,4.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,4.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,4.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,4.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,4.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,4.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,4.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,4.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,4.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,4.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,4.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,4.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,4.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,5.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,5.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,5.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,5.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,5.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,5.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,5.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,5.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,5.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,5.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,5.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,5.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,5.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,5.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,5.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,5.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,5.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,5.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,5.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,5.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,5.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,5.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,5.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,5.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,6.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,6.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,6.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,6.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,6.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,6.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,6.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,6.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,6.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,6.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,6.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,6.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,6.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,6.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,6.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,6.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,6.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,6.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,6.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,6.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,6.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,6.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,6.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,6.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,7.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,7.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,7.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,7.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,7.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,7.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,7.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,7.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,7.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,7.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,7.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,7.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,7.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,7.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,7.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,7.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,7.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,7.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,7.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,7.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,7.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,7.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,7.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,7.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,8.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,8.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,8.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,8.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,8.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,8.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,8.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,8.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,8.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,8.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,8.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,8.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,8.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,8.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,8.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,8.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,8.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,8.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,8.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,8.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,8.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,8.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,8.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,8.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,9.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,9.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,9.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,9.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,9.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,9.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,9.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,9.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,9.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,9.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,9.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,9.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,9.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,9.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,9.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,9.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,9.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,9.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,9.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,9.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,9.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,9.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,9.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,9.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,10.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,10.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,10.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,10.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,10.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,10.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,10.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,10.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,10.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,10.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,10.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,10.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,10.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,10.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,10.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,10.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,10.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,10.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,10.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,10.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,10.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,10.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,10.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,10.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,11.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,11.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,11.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,11.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,11.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,11.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,11.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,11.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,11.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,11.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,11.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,11.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,11.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,11.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,11.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,11.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,11.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,11.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,11.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,11.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,11.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,11.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,11.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,11.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,12.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,12.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,12.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,12.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,12.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,12.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,12.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,12.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,12.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,12.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,12.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,12.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,12.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,12.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,12.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,12.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,12.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,12.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,12.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,12.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,12.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,12.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,12.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,12.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,13.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,13.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,13.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,13.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,13.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,13.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,13.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,13.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,13.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,13.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,13.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,13.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,13.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,13.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,13.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,13.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,13.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,13.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,13.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,13.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,13.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,13.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,13.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,13.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,14.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,14.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,14.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,14.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,14.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,14.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,14.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,14.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,14.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,14.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,14.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,14.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,14.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,14.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,14.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,14.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
0,14.0,100,1,13,0.20087490795814889,0.006780893224826445,0.003559770969265741
0,14.0,100,1,5,0.16474737488152574,0.00983605352130379,0.0028921714164878987
0,14.0,100,1,1,0.17439753460325944,0.022290221311685232,0.0025562021977789673
0,14.0,100,1,22,0.2802430291066497,0.01132729488193951,0.043007660374398626
0,14.0,100,1,15,0.2043346517228159,0.01132390593421262,0.00019070208388161092
0,14.0,100,1,18,0.276075617306757,0.014823151523394418,0.006341908676785968
0,14.0,100,1,17,0.08548925734497823,0.013065423028936651,0.01376366950032415
0,14.0,100,1,3,0.1776727065752107,0.024328494985499383,0.017993820433247043
0,15.0,100,1,20,0.30172540601289854,0.004557529186420051,0.012274468588900023
0,15.0,100,1,19,0.29791572493734214,0.02219479682792458,0.0046043548149617974
0,15.0,100,1,9,0.15382916457601517,0.024719647040661097,0.010435461398001333
0,15.0,100,1,14,0.25787637331048263,0.018955308284235084,0.01636692948770524
0,15.0,100,1,21,0.21375954269468866,0.006291405189691512,0.0049306482285836895
0,15.0,100,1,8,0.30742829311257985,0.0036952615165289915,0.009705094425013328
0,15.0,100,1,4,0.3047809845971888,0.028332842079952236,0.02968763593614232
0,15.0,100,1,11,0.2337844351672587,0.0024110992445340873,0.03943324828110528
0,15.0,100,1,6,0.21357792330157088,0.023163732666264814,0.007243311035515787
0,15.0,100,1,7,0.2467963858470891,0.01287368172554082,0.004371613687384812
0,15.0,100,1,23,0.21446035847257133,0.012634502664176983,0.01085142494857727
0,15.0,100,1,0,0.2838768405410018,0.00464814745086084,0.01357386847084574
0,15.0,100,1,10,0.13767564856452555,0.03234950434881212,0.0005611102841367455
0,15.0,100,1,16,0.14260824091311533,0.005357082253877543,0.02710238967580747
0,15.0,100,1,12,0.1431076749852414,0.008403335509958754,0.032632777116278655
0,15.0,100,1,2,0.17505408321445612,0.006397580165899086,-7.549516567451064e-15
